SYM_ROOT,DATE,pre_market_price_mean,post_market_price_mean,pre_market_price_std,post_market_price_std,pre_market_price_min,post_market_price_min,pre_market_price_max,post_market_price_max
AAPL,2019-01-02,147.4971705500879,154.712106555773,3.2805696931647312,0.2153439002170222,144.51,153.01,158.4787,157.74
AAPL,2019-01-03,142.32012241486618,144.2830629655923,0.389199024098309,0.6529671711929126,142.0,143.13,177.89,146.66
AAPL,2019-01-04,148.19809425587468,144.17995334552103,0.10573182213602231,0.263762218923149,142.19,142.19,148.4,144.96
AAPL,2019-01-07,147.881547580801,148.3468673316062,0.05943833814199427,0.22206358347501584,147.3571,147.7,148.184725,148.9
AAPL,2019-01-08,150.71531185097822,149.03254393623362,0.12071379490586025,0.4258453285866651,149.6802,147.93,151.21,149.75
AAPL,2019-01-09,153.23947398235944,151.18246472593276,0.2059853482143397,0.6617644532497121,151.0,150.21,153.81001,153.2
AAPL,2019-01-10,153.7509785327425,152.22937912902478,0.11541377656649722,0.18761585514882473,153.53,151.5,154.25,153.31
AAPL,2019-01-11,152.20519955686854,153.1776777647404,0.058177078135624186,0.42840918221298796,152.06,152.67,152.5,154.54
AAPL,2019-01-14,149.90380912265462,151.0209614293508,0.0908784819632418,0.1979695083155949,149.61,150.5,152.91,152.29
AAPL,2019-01-15,153.03296597107067,150.29228414755733,0.0957839202798911,0.16823683130498662,151.95,150.0,153.41,151.06
AAPL,2019-01-16,154.81960445010782,153.14562401389233,0.2715283551902585,0.18168118783671655,153.49,152.21,155.11,153.8
AAPL,2019-01-17,155.6094990443958,154.12718709573093,0.1765816672594789,0.1828864784425358,154.975,153.53,156.49,154.94
AAPL,2019-01-18,156.73640990832845,157.17300634425376,0.1037049804986964,0.3279859399281456,156.218,155.86,157.6,157.97
AAPL,2019-01-22,153.33829450030285,156.2089496012406,0.1905246775072546,0.3540631565817695,152.93,155.15,154.4159,156.82
AAPL,2019-01-23,153.8690990082176,154.11095591672753,0.07560583897654949,0.1510123793510262,153.4419,153.05,154.03,154.38
AAPL,2019-01-24,152.61140777439024,154.07609379084968,0.14295423554149322,0.3449495387973902,151.76,153.57,152.85,155.23
AAPL,2019-01-25,157.6379510887496,154.8293430597264,0.10911199182122115,0.5461826610499537,156.8124,152.7,157.98,155.5
AAPL,2019-01-28,156.13349004822447,155.68512053417956,0.16643903976909522,0.6871410267418211,155.2895,154.59,156.37,158.15
AAPL,2019-01-29,160.2460643122897,156.34534757281554,2.8880891294041344,0.16381518171409465,151.0,155.65,222.68,156.7
AAPL,2019-01-30,165.38687641328033,162.5608723236189,0.20240288576657742,0.580599703776,154.68,154.68,165.86,163.7
AAPL,2019-01-31,166.55723950634697,166.14158865628914,0.12885211182141745,0.26318352045731586,166.11,165.25,168.3667,166.8
AAPL,2019-02-01,166.58909455445544,166.98698718385214,0.052531707257895986,0.3011195369493468,166.5,166.1,167.5674,167.55
AAPL,2019-02-04,171.07990594337582,167.39004813821865,0.580616491517368,0.29913169942323065,170.8,166.5,209.95,167.96
AAPL,2019-02-05,174.06250068397054,172.58683983267883,0.06276154255503665,0.32766068998674724,173.5801,171.25,174.35,173.0
AAPL,2019-02-06,174.17005475368686,174.73180954132943,0.06119685656000703,0.2622433641503703,173.95,173.63,174.3,175.18
AAPL,2019-02-07,170.85506194690265,172.30323423658155,0.5659185054332702,0.3734601218517507,142.68,171.8,173.15,174.67
AAPL,2019-02-08,170.24938625195009,168.93144290929,0.11522141512651365,0.27253177870094497,169.8437,168.42,170.53,171.36
AAPL,2019-02-11,169.38992275808133,171.0071759456838,0.1405382345662446,0.16146260823626224,168.8,170.41,169.9652,171.4
AAPL,2019-02-12,170.83218374047806,170.23353970988214,0.11362462167821308,0.22202913230727583,170.221,169.43,171.5,170.83
AAPL,2019-02-13,170.0629784308842,171.49288703590992,0.7778563329058634,0.1403361187890414,169.5,170.89,218.99,172.0
AAPL,2019-02-14,170.31982234394377,169.89807478849409,0.7528945218888781,0.3600310244531082,168.7,169.15,201.0,170.89
AAPL,2019-02-15,170.3316668983269,170.99645621693122,0.05753416444206483,0.6261770633060312,170.015,169.08,170.5,171.86
AAPL,2019-02-19,170.88613020481122,169.90250071599044,0.04432251015615513,0.32943965823311105,169.964,169.41,171.0,170.61
AAPL,2019-02-20,171.9368331928544,171.10084554973824,0.07123813263708458,0.2580496862054288,171.79,170.14,172.306401,171.5
AAPL,2019-02-21,171.03342237109214,171.81952935455348,0.04602956479965393,0.16239702659312172,170.76,171.5,171.14,172.4
AAPL,2019-02-22,172.81381858146383,171.71544099443673,0.08895356273279725,0.24344429956391692,171.38,170.7973,173.09,172.33
AAPL,2019-02-25,174.11536670633737,174.1524654098668,0.16692601191458553,0.2286275337114752,173.5,172.97,174.39,174.68
AAPL,2019-02-26,174.21560863948324,173.5421467623498,0.07001097760421336,0.13629402403565494,173.91,172.4645,174.35,174.23
AAPL,2019-02-27,174.87803085255354,173.70995379975872,0.0702747314595528,0.4638370050104581,173.8941,154.44,176.69,174.76
AAPL,2019-02-28,173.28335874668687,174.30266898705935,0.08364715883177792,0.19958410829340498,173.01,173.46,173.8011,174.87
AAPL,2019-03-01,174.93968431587606,174.25108169144983,0.0629893438968181,0.16342105502873408,174.2997,173.15,175.12,174.63
AAPL,2019-03-04,175.84267610451306,175.8890169925175,0.07881854327862507,0.12390907002665377,175.37,174.97,176.262,176.13
AAPL,2019-03-05,175.56232671378092,175.80321271929824,0.1193870298299845,0.11684435396119505,175.01,175.3,175.75,176.3
