SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK,OPEN,HIGH,LOW,CLOSE,VOLUME,pre_market_price_mean,post_market_price_mean,pre_market_price_std,post_market_price_std,pre_market_price_min,post_market_price_min,pre_market_price_max,post_market_price_max
AAPL,2019-01-29,984088.0,11407065.0,Tuesday,37.26885789319794,37.71727795602071,36.75842376107418,36.894378662109375,166348800.0,160.2460643122897,156.34534757281554,2.8880891294041344,0.1638151817140946,151.0,155.65,222.68,156.7
AAPL,2019-01-30,4253500.0,6242726.0,Wednesday,38.93850500825314,39.63021359546392,38.21817146161812,39.41554641723633,244439200.0,165.38687641328033,162.5608723236189,0.2024028857665774,0.580599703776,154.68,154.68,165.86,163.7
AAPL,2019-01-31,1449220.0,13707745.0,Thursday,39.62067432753475,40.30999901721812,39.25096650804929,39.69938659667969,162958400.0,166.55723950634697,166.14158865628914,0.1288521118214174,0.2631835204573158,166.11,165.25,168.3667,166.8
AAPL,2019-02-01,1048274.0,11333673.0,Friday,39.82341357723608,40.30522272121144,39.57773393313214,39.71846389770508,130672400.0,166.58909455445544,166.98698718385214,0.0525317072578959,0.3011195369493468,166.5,166.1,167.5674,167.55
AAPL,2019-02-04,898836.0,6031820.0,Monday,39.9307459363238,40.94445877616042,39.89973708480651,40.84666442871094,125982000.0,171.07990594337582,167.39004813821865,0.580616491517368,0.2991316994232306,170.8,166.5,209.95,167.96
AAPL,2019-02-05,1485416.0,5935761.0,Tuesday,41.23068680688681,41.760203032262986,41.10904256466571,41.5455322265625,144406400.0,174.06250068397054,172.58683983267883,0.0627615425550366,0.3276606899867472,173.5801,171.25,174.35,173.0
AAPL,2019-02-06,1176148.0,3328893.0,Wednesday,41.65763186066964,41.87707407091184,41.2282975838094,41.55984115600586,112958400.0,174.17005475368686,174.73180954132943,0.061196856560007,0.2622433641503703,173.95,173.63,174.3,175.18
AAPL,2019-02-07,1274018.0,4710559.0,Thursday,41.1209545991594,41.48827840252376,40.62960269034103,40.7727165222168,126966800.0,170.85506194690265,172.30323423658157,0.5659185054332702,0.3734601218517507,142.68,171.8,173.15,174.67
AAPL,2019-02-08,1167954.0,4405871.0,Friday,40.48047761843685,40.88051502481208,40.343936000706,40.82062911987305,95280000.0,170.24938625195009,168.93144290929,0.1152214151265136,0.2725317787009449,169.8437,168.42,170.53,171.36
AAPL,2019-02-11,878625.0,4370842.0,Monday,40.97394349156521,41.01227135413607,40.54276417550842,40.585880279541016,83973600.0,169.38992275808133,171.0071759456838,0.1405382345662446,0.1614626082362622,168.8,170.41,169.9652,171.4
AAPL,2019-02-12,953397.0,4779570.0,Tuesday,40.74637386107052,40.96196167096465,40.65055421378195,40.93561172485352,89134000.0,170.83218374047806,170.23353970988214,0.113624621678213,0.2220291323072758,170.221,169.43,171.5,170.83
AAPL,2019-02-13,940459.0,4137107.0,Wednesday,41.05537900777508,41.316480664397695,40.70324961006937,40.76552963256836,89960800.0,170.0629784308842,171.49288703590992,0.7778563329058634,0.1403361187890414,169.5,170.89,218.99,172.0
AAPL,2019-02-14,1091089.0,4832593.0,Thursday,40.65294180645291,41.02423142436276,40.57389198792036,40.91404342651367,87342800.0,170.31982234394377,169.89807478849409,0.7528945218888781,0.3600310244531082,168.7,169.15,201.0,170.89
AAPL,2019-02-15,4805305.0,4834296.0,Friday,41.021854066675054,41.1296479886677,40.66253855660199,40.82303237915039,98507200.0,170.3316668983269,170.99645621693122,0.0575341644420648,0.6261770633060312,170.015,169.08,170.5,171.86
