SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK,OPEN,HIGH,LOW,CLOSE,VOLUME
AAPL,2019-05-13,4880232.0,9976444.0,Monday,45.137891635823976,45.56351397580666,43.96922628473015,44.65936279296875,229722400.0
AAPL,2019-05-14,2220559.0,7366784.0,Tuesday,44.82529184863322,45.61642379613462,44.58482572037819,45.36634063720703,146118800.0
AAPL,2019-05-15,1284407.0,4201062.0,Wednesday,44.79162407678541,46.10937735396515,44.73150754829263,45.9097900390625,106178800.0
AAPL,2019-05-16,1558670.0,6856242.0,Thursday,45.66691920631592,46.282511852423546,45.40961871090756,45.70779800415039,132125600.0
AAPL,2019-05-17,2477700.0,6063087.0,Friday,44.950326820447415,45.9049775417883,44.9094480232914,45.44809341430664,131516400.0
AAPL,2019-05-20,2610735.0,7100733.0,Monday,44.13034937515096,44.32993672221793,43.35123771940764,44.026947021484375,154449200.0
AAPL,2019-05-21,1583358.0,7138973.0,Tuesday,44.53914246341603,45.20763809489854,44.41409903279254,44.87098693847656,113459200.0
AAPL,2019-05-22,1039377.0,4929179.0,Wednesday,44.40448157296069,44.65697177245535,43.89709783331378,43.9524040222168,118994400.0
AAPL,2019-05-23,2718554.0,8920052.0,Thursday,43.23581355098918,43.41375614976533,42.757284602115256,43.2021484375,146118800.0
AAPL,2019-05-24,1091568.0,3460671.0,Friday,43.33198516040847,43.79848992414782,42.95204832879829,43.03621292114258,94858800.0
AAPL,2019-05-28,1143124.0,9005231.0,Tuesday,43.02419858026453,43.42577656810654,42.78132911529811,42.8582763671875,111792800.0
AAPL,2019-05-29,1417498.0,3417929.0,Wednesday,42.42303577991815,43.12760347481568,42.32204044189754,42.65388488769531,113924800.0
AAPL,2019-05-30,957075.0,2207323.0,Thursday,42.79093459353814,43.09873085644357,42.48313833063271,42.875099182128906,84873600.0
AAPL,2019-05-31,1263932.0,6354868.0,Friday,42.377337991615725,42.80056065810064,42.07916238847009,42.0984001159668,108174400.0
AAPL,2019-06-03,1435540.0,6118647.0,Monday,42.22585575514875,42.78373529332015,40.944170785501775,41.67278289794922,161584400.0
AAPL,2019-06-04,1320854.0,5447256.0,Tuesday,42.18738475546183,43.24303107756671,41.96615632302049,43.19734191894531,123872000.0
AAPL,2019-06-05,2433086.0,5040904.0,Wednesday,44.31310005778889,44.48383263192451,43.55803652372878,43.89468765258789,119093600.0
AAPL,2019-06-06,774514.0,5140310.0,Thursday,44.02453762991812,44.59925150916613,43.80090223062752,44.53913497924805,90105200.0
AAPL,2019-06-07,1104516.0,4990663.0,Friday,44.84932823041656,46.15025063198151,44.67138567566746,45.72462463378906,122737600.0
AAPL,2019-06-10,1523132.0,3412364.0,Monday,46.12380004462165,46.97985873625351,46.07811090053658,46.3089599609375,104883600.0
AAPL,2019-06-11,1142045.0,5316327.0,Tuesday,46.85722743928427,47.13135866433859,46.554241454504776,46.8452033996582,107731600.0
AAPL,2019-06-12,743615.0,2692031.0,Wednesday,46.63840421020281,47.12414681008803,46.50374376727745,46.69611740112305,73012800.0
AAPL,2019-06-13,751714.0,6406789.0,Thursday,46.81874618630091,47.32131942516959,46.554235693369584,46.68648910522461,86698400.0
AAPL,2019-06-14,1118342.0,4144174.0,Friday,46.06128734882138,46.55183663331729,45.760704690148856,46.347442626953125,75046000.0
AAPL,2019-06-17,666322.0,3184598.0,Monday,46.385903486558426,46.88126667345138,46.21036428264639,46.623966217041016,58676400.0
AAPL,2019-06-18,933878.0,4451045.0,Tuesday,47.14338372372743,48.162957727769786,46.941393062838486,47.72050094604492,106204000.0
AAPL,2019-06-19,974110.0,6097861.0,Wednesday,48.01626335721362,48.06435950685173,47.44635994236846,47.58102035522461,84496800.0
AAPL,2019-06-20,1199208.0,5649454.0,Thursday,48.18220414173809,48.23991734206036,47.6195141981803,47.96338272094727,86056000.0
AAPL,2019-06-21,9420478.0,38225482.0,Friday,47.80466844335108,48.29762475468286,47.64836325383406,47.79985809326172,191202400.0
AAPL,2019-06-24,821164.0,6809851.0,Monday,47.742141690604704,48.131699298772126,47.65317040065336,47.75176239013672,72881600.0
AAPL,2019-06-25,564483.0,4791236.0,Tuesday,47.71569132459254,47.91527864823954,46.9606278404111,47.02796173095703,84281200.0
AAPL,2019-06-26,846534.0,5584955.0,Wednesday,47.55697442370645,48.331275442006046,47.455979117304885,48.04512023925781,104270000.0
AAPL,2019-06-27,984730.0,6741381.0,Thursday,48.16295027952624,48.470750242280026,47.98981807498277,48.03069686889648,83598800.0
AAPL,2019-06-28,946441.0,19364875.0,Friday,47.775797173850414,47.97298111308519,47.38383997361081,47.59304428100586,124442400.0
AAPL,2019-07-01,2128672.0,4403599.0,Monday,48.8554924388244,49.17290942178827,48.24951689721592,48.465938568115234,109012000.0
AAPL,2019-07-02,640907.0,1742604.0,Tuesday,48.43228145808535,48.84588347245747,48.42025741840279,48.74969482421875,67740800.0
AAPL,2019-07-03,628352.0,5737.0,Wednesday,48.881954806612185,49.16089639913108,48.74008066996311,49.15368270874024,45448000.0
AAPL,2019-07-05,958340.0,3608550.0,Friday,48.898782040275336,49.31478735855635,48.790569361806654,49.110389709472656,69062000.0
AAPL,2019-07-08,1352020.0,4523095.0,Monday,48.28798903432406,48.42986312944247,47.71087195666429,48.0980224609375,101354400.0
AAPL,2019-07-09,1468807.0,3780481.0,Tuesday,47.9008464837811,48.45632258883776,47.80706485135882,48.39139938354492,82312000.0
AAPL,2019-07-10,1028028.0,3374304.0,Wednesday,48.538085716282815,48.99015950750072,48.468348489697576,48.86992645263672,71588400.0
AAPL,2019-07-11,836240.0,5577898.0,Thursday,48.88916847769799,49.14887233933144,48.5044248698581,48.514041900634766,80767200.0
AAPL,2019-07-12,677695.0,3523267.0,Friday,48.68236685000333,49.05509008201993,48.62225031804008,48.88676452636719,70380800.0
AAPL,2019-07-15,787522.0,3837332.0,Monday,49.07672573392334,49.50475510070153,49.05508466541941,49.34605026245117,67789600.0
AAPL,2019-07-16,913256.0,3223886.0,Tuesday,49.19696455737143,49.56247410162017,48.93485735681063,49.175323486328125,67467200.0
AAPL,2019-07-17,784231.0,3720290.0,Wednesday,49.067114007407184,49.317197165331336,48.87955072165859,48.89878845214844,56430000.0
AAPL,2019-07-18,898444.0,4254852.0,Thursday,49.0550833668815,49.50716079951146,48.98294280455651,49.45425796508789,74162400.0
AAPL,2019-07-19,2399643.0,4087539.0,Friday,49.48552096706686,49.656253525850616,48.66072394091478,48.71603012084961,83717200.0
AAPL,2019-07-22,1157850.0,5190365.0,Monday,48.970914391931,49.83178337521537,48.96129736344998,49.82938003540039,89111600.0
AAPL,2019-07-23,1166515.0,2895197.0,Tuesday,50.12756991734035,50.23577893949856,49.84622132281841,50.21894454956055,73420800.0
AAPL,2019-07-24,762508.0,3219978.0,Wednesday,49.93760392320834,50.29349279064966,49.81737085063283,50.178070068359375,59966400.0
AAPL,2019-07-25,729048.0,3445127.0,Thursday,50.23096623384895,50.315130841148026,49.711558548783,49.78129577636719,55638400.0
AAPL,2019-07-26,631809.0,3740527.0,Friday,49.89190609129754,50.43295482378756,49.810148496778886,49.95442962646485,70475600.0
AAPL,2019-07-29,838062.0,4108085.0,Monday,50.127567487848594,50.651781852516805,50.12275713821061,50.42093276977539,86693600.0
AAPL,2019-07-30,1162754.0,10523097.0,Tuesday,50.199703200280354,50.53635795177346,49.8510280788088,50.20451354980469,135742800.0
AAPL,2019-07-31,4866982.0,7463922.0,Wednesday,52.04166594857817,53.23197225024353,50.81048085569678,51.22888946533203,277125600.0
AAPL,2019-08-01,1820002.0,4037426.0,Thursday,51.43569589333076,52.42882203289072,49.71396145377212,50.12034606933594,216071600.0
AAPL,2019-08-02,2744298.0,6363875.0,Friday,49.423004736320536,49.63942279145988,48.485188271753984,49.05990219116211,163448400.0
AAPL,2019-08-05,2725232.0,11330566.0,Monday,47.609884034070426,47.76858887004254,46.30896156409344,46.49171447753906,209572000.0
AAPL,2019-08-06,2869140.0,4818904.0,Tuesday,47.205900158800496,47.62912284897352,46.66004107684591,47.37182235717773,143299200.0
AAPL,2019-08-07,1530599.0,6896912.0,Wednesday,46.9894876050677,47.98742058242515,46.60714733685603,47.86237716674805,133457600.0
AAPL,2019-08-08,1382797.0,6055838.0,Thursday,48.14131384354654,48.94206641943112,47.946536884130055,48.91801834106445,108038000.0
AAPL,2019-08-09,875957.0,4813735.0,Friday,48.589746417288495,48.94215880426404,48.1045707425376,48.51491928100586,98478800.0
AAPL,2019-08-12,865255.0,4354644.0,Monday,48.1842284363325,48.77078319179525,48.07077964995006,48.39181518554688,89927600.0
AAPL,2019-08-13,860780.0,6303649.0,Tuesday,48.522163128006966,51.20630503224994,48.39181598767111,50.44113159179688,188874000.0
