Date,SYM_ROOT,EWO,EWO_lag_1,EWO_lag_2
2019-01-02,AAPL,-0.058480516004639584,-0.06720168861794557,-0.0705916107540122
2019-01-03,AAPL,-0.047232154250971305,-0.058480516004639584,-0.06720168861794557
2019-01-04,AAPL,-0.05167110627704802,-0.047232154250971305,-0.058480516004639584
2019-01-07,AAPL,-0.05296185730108687,-0.05167110627704802,-0.047232154250971305
2019-01-08,AAPL,-0.054683251276155205,-0.05296185730108687,-0.05167110627704802
2019-01-09,AAPL,-0.056264820178827335,-0.054683251276155205,-0.05296185730108687
2019-01-10,AAPL,-0.05609494974273313,-0.056264820178827335,-0.054683251276155205
2019-01-11,AAPL,-0.04493730276370631,-0.05609494974273313,-0.056264820178827335
2019-01-14,AAPL,-0.039367194665708725,-0.04493730276370631,-0.05609494974273313
2019-01-15,AAPL,-0.035653914183310265,-0.039367194665708725,-0.04493730276370631
2019-01-16,AAPL,-0.03205548809745807,-0.035653914183310265,-0.039367194665708725
2019-01-17,AAPL,-0.029463462001621102,-0.03205548809745807,-0.035653914183310265
2019-01-18,AAPL,-0.02646355763229612,-0.029463462001621102,-0.03205548809745807
2019-01-22,AAPL,-0.021975885322482777,-0.02646355763229612,-0.029463462001621102
2019-01-23,AAPL,-0.01738368884123422,-0.021975885322482777,-0.02646355763229612
2019-01-24,AAPL,-0.014545909524721188,-0.01738368884123422,-0.021975885322482777
2019-01-25,AAPL,-0.013670935504602704,-0.014545909524721188,-0.01738368884123422
2019-01-28,AAPL,-0.010003115803709764,-0.013670935504602704,-0.014545909524721188
2019-01-29,AAPL,-0.008492415509631542,-0.010003115803709764,-0.013670935504602704
2019-01-30,AAPL,-0.005780277559258782,-0.008492415509631542,-0.010003115803709764
2019-01-31,AAPL,0.0017681971464269244,-0.005780277559258782,-0.008492415509631542
2019-02-01,AAPL,0.010713223892458467,0.0017681971464269244,-0.005780277559258782
2019-02-04,AAPL,0.016346912766728654,0.010713223892458467,0.0017681971464269244
2019-02-05,AAPL,0.025300219189299134,0.016346912766728654,0.010713223892458467
2019-02-06,AAPL,0.036687487687949605,0.025300219189299134,0.016346912766728654
2019-02-07,AAPL,0.04118302372309277,0.036687487687949605,0.025300219189299134
2019-02-08,AAPL,0.043175016683074614,0.04118302372309277,0.036687487687949605
2019-02-11,AAPL,0.0453984464699995,0.043175016683074614,0.04118302372309277
2019-02-12,AAPL,0.04392618994965648,0.0453984464699995,0.043175016683074614
2019-02-13,AAPL,0.04110481198103125,0.04392618994965648,0.0453984464699995
2019-02-14,AAPL,0.03734595721087553,0.04110481198103125,0.04392618994965648
2019-02-15,AAPL,0.0354754363861296,0.03734595721087553,0.04110481198103125
2019-02-19,AAPL,0.03423099772506012,0.0354754363861296,0.03734595721087553
2019-02-20,AAPL,0.03372602809474777,0.03423099772506012,0.0354754363861296
2019-02-21,AAPL,0.032921884633543244,0.03372602809474777,0.03423099772506012
2019-02-22,AAPL,0.03218939576287449,0.032921884633543244,0.03372602809474777
2019-02-25,AAPL,0.032057910402502776,0.03218939576287449,0.032921884633543244
2019-02-26,AAPL,0.031383961760828916,0.032057910402502776,0.03218939576287449
2019-02-27,AAPL,0.031001711050808234,0.031383961760828916,0.032057910402502776
2019-02-28,AAPL,0.030224439729870243,0.031001711050808234,0.031383961760828916
2019-03-01,AAPL,0.02941666445024759,0.030224439729870243,0.031001711050808234
2019-03-04,AAPL,0.028625648386475182,0.02941666445024759,0.030224439729870243
2019-03-05,AAPL,0.02758821096025769,0.028625648386475182,0.02941666445024759
2019-03-06,AAPL,0.026214900324925336,0.02758821096025769,0.028625648386475182
2019-03-07,AAPL,0.02385479514348218,0.026214900324925336,0.02758821096025769
2019-03-08,AAPL,0.021765304031604902,0.02385479514348218,0.026214900324925336
2019-03-11,AAPL,0.018996676164373116,0.021765304031604902,0.02385479514348218
2019-03-12,AAPL,0.018729385593633192,0.018996676164373116,0.021765304031604902
2019-03-13,AAPL,0.019700662471762723,0.018729385593633192,0.018996676164373116
2019-03-14,AAPL,0.02132111157477493,0.019700662471762723,0.018729385593633192
2019-03-15,AAPL,0.025056133652009264,0.02132111157477493,0.019700662471762723
2019-03-18,AAPL,0.029512305652533988,0.025056133652009264,0.02132111157477493
2019-03-19,AAPL,0.03192333904137183,0.029512305652533988,0.025056133652009264
2019-03-20,AAPL,0.032417061241172836,0.03192333904137183,0.029512305652533988
2019-03-21,AAPL,0.03308483586062344,0.032417061241172836,0.03192333904137183
2019-03-22,AAPL,0.036640964203476824,0.03308483586062344,0.032417061241172836
2019-03-25,AAPL,0.03718726201649541,0.036640964203476824,0.03308483586062344
2019-03-26,AAPL,0.035712375599612364,0.03718726201649541,0.036640964203476824
2019-03-27,AAPL,0.03453778648326639,0.035712375599612364,0.03718726201649541
2019-03-28,AAPL,0.033492174905542106,0.03453778648326639,0.035712375599612364
2019-03-29,AAPL,0.028910909889616695,0.033492174905542106,0.03453778648326639
2019-04-01,AAPL,0.026749028062520348,0.028910909889616695,0.033492174905542106
2019-04-02,AAPL,0.02641117717188899,0.026749028062520348,0.028910909889616695
2019-04-03,AAPL,0.028264666186550887,0.02641117717188899,0.026749028062520348
2019-04-04,AAPL,0.02992478745560465,0.028264666186550887,0.02641117717188899
2019-04-05,AAPL,0.03153044459970496,0.02992478745560465,0.028264666186550887
2019-04-08,AAPL,0.033104994385873214,0.03153044459970496,0.02992478745560465
2019-04-09,AAPL,0.035311437780482055,0.033104994385873214,0.03153044459970496
2019-04-10,AAPL,0.03586779438174652,0.035311437780482055,0.033104994385873214
2019-04-11,AAPL,0.036311462960763194,0.03586779438174652,0.035311437780482055
2019-04-12,AAPL,0.03579814781599334,0.036311462960763194,0.03586779438174652
2019-04-15,AAPL,0.034746115515768665,0.03579814781599334,0.036311462960763194
2019-04-16,AAPL,0.032398348129554985,0.034746115515768665,0.03579814781599334
2019-04-17,AAPL,0.030374022614561635,0.032398348129554985,0.034746115515768665
2019-04-18,AAPL,0.029485080541772762,0.030374022614561635,0.032398348129554985
2019-04-22,AAPL,0.029612589225908807,0.029485080541772762,0.030374022614561635
2019-04-23,AAPL,0.0301962884612286,0.029612589225908807,0.029485080541772762
2019-04-24,AAPL,0.03189164742245846,0.0301962884612286,0.029612589225908807
2019-04-25,AAPL,0.03339971919356859,0.03189164742245846,0.0301962884612286
2019-04-26,AAPL,0.03216365772632161,0.03339971919356859,0.03189164742245846
2019-04-29,AAPL,0.030029437132893626,0.03216365772632161,0.03339971919356859
2019-04-30,AAPL,0.027738413727568783,0.030029437132893626,0.03216365772632161
2019-05-01,AAPL,0.022825852231139882,0.027738413727568783,0.030029437132893626
2019-05-02,AAPL,0.022305813080930482,0.022825852231139882,0.027738413727568783
2019-05-03,AAPL,0.022194689212693564,0.022305813080930482,0.022825852231139882
2019-05-06,AAPL,0.023771251672262354,0.022194689212693564,0.022305813080930482
2019-05-07,AAPL,0.024021104203904117,0.023771251672262354,0.022194689212693564
2019-05-08,AAPL,0.024004633155825468,0.024021104203904117,0.023771251672262354
2019-05-09,AAPL,0.019164604531174537,0.024004633155825468,0.024021104203904117
2019-05-10,AAPL,0.014177687823063388,0.019164604531174537,0.024004633155825468
2019-05-13,AAPL,0.007203299888982265,0.014177687823063388,0.019164604531174537
2019-05-14,AAPL,-0.003468505460126529,0.007203299888982265,0.014177687823063388
2019-05-15,AAPL,-0.010359980171220508,-0.003468505460126529,0.007203299888982265
2019-05-16,AAPL,-0.016492879666095573,-0.010359980171220508,-0.003468505460126529
2019-05-17,AAPL,-0.02181253839255276,-0.016492879666095573,-0.010359980171220508
2019-05-20,AAPL,-0.02619431601629817,-0.02181253839255276,-0.016492879666095573
2019-05-21,AAPL,-0.02714775050211579,-0.02619431601629817,-0.02181253839255276
2019-05-22,AAPL,-0.027961363196014364,-0.02714775050211579,-0.02619431601629817
2019-05-23,AAPL,-0.031553265360953625,-0.027961363196014364,-0.02714775050211579
2019-05-24,AAPL,-0.03609571360873038,-0.031553265360953625,-0.027961363196014364
2019-05-28,AAPL,-0.04041025983656927,-0.03609571360873038,-0.031553265360953625
2019-05-29,AAPL,-0.041777926937065224,-0.04041025983656927,-0.03609571360873038
2019-05-30,AAPL,-0.04529023302026652,-0.041777926937065224,-0.04041025983656927
2019-05-31,AAPL,-0.04630312762703294,-0.04529023302026652,-0.041777926937065224
2019-06-03,AAPL,-0.04706853577512641,-0.04630312762703294,-0.04529023302026652
2019-06-04,AAPL,-0.04844307414577542,-0.04706853577512641,-0.04630312762703294
2019-06-05,AAPL,-0.04629074094795817,-0.04844307414577542,-0.04706853577512641
2019-06-06,AAPL,-0.04221288844319154,-0.04629074094795817,-0.04844307414577542
2019-06-07,AAPL,-0.03736236134620085,-0.04221288844319154,-0.04629074094795817
2019-06-10,AAPL,-0.02812144003204822,-0.03736236134620085,-0.04221288844319154
2019-06-11,AAPL,-0.01687538541993869,-0.02812144003204822,-0.03736236134620085
2019-06-12,AAPL,-0.008123973255221838,-0.01687538541993869,-0.02812144003204822
