SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK,OPEN,HIGH,LOW,CLOSE,VOLUME,pre_market_price_mean,post_market_price_mean,pre_market_price_std,post_market_price_std,pre_market_price_min,post_market_price_min,pre_market_price_max,post_market_price_max,PREV_OPEN,PREV_HIGH,PREV_LOW,PREV_CLOSE,PREV_VOLUME,PREV_post_market_volume,PREV_post_market_price_mean,PREV_post_market_price_std,pre_market_volume_avg_3,pre_market_volume_avg_3_increment,pre_market_volume_avg_5,pre_market_volume_avg_5_increment,pre_market_volume_avg_9,pre_market_volume_avg_9_increment,pre_market_volume_avg_12,pre_market_volume_avg_12_increment,PREV_post_market_volume_avg_3,PREV_post_market_volume_avg_3_increment,PREV_post_market_volume_avg_5,PREV_post_market_volume_avg_5_increment,PREV_post_market_volume_avg_9,PREV_post_market_volume_avg_9_increment,PREV_post_market_volume_avg_12,PREV_post_market_volume_avg_12_increment,PREV_OPEN_avg_3,PREV_OPEN_avg_3_increment,PREV_OPEN_avg_5,PREV_OPEN_avg_5_increment,PREV_CLOSE_avg_3,PREV_CLOSE_avg_3_increment,PREV_CLOSE_avg_5,PREV_CLOSE_avg_5_increment,PREV_HIGH_avg_3,PREV_HIGH_avg_3_increment,pre_market_price_mean_avg_1,pre_market_price_mean_avg_1_increment,pre_market_price_mean_avg_3,pre_market_price_mean_avg_3_increment,pre_market_price_mean_avg_5,pre_market_price_mean_avg_5_increment,pre_market_price_std_avg_1,pre_market_price_std_avg_1_increment,pre_market_price_std_avg_3,pre_market_price_std_avg_3_increment,PREV_post_market_price_mean_avg_1,PREV_post_market_price_mean_avg_1_increment,PREV_post_market_price_mean_avg_3,PREV_post_market_price_mean_avg_3_increment,PREV_post_market_price_mean_avg_5,PREV_post_market_price_mean_avg_5_increment,PREV_post_market_price_std_avg_1,PREV_post_market_price_std_avg_1_increment,PREV_post_market_price_std_avg_3,PREV_post_market_price_std_avg_3_increment,pre_market_range_change,prev_post_market_range_change,pre_market_spread,prev_post_market_spread,Date,EWO,EWO_lag_1,EWO_lag_2
AAPL,2019-01-02,1448699.0,10818374.0,Wednesday,36.94446185817818,37.88900519587008,36.7870373619735,37.667179107666016,148158800.0,147.4971705500879,154.712106555773,3.2805696931647312,0.2153439002170222,144.51,153.01,158.4787,157.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.66625147048648,,9.470486754358753,,2019-01-02,-0.0584805160046395,-0.0672016886179455,-0.0705916107540122
AAPL,2019-01-03,8702037.0,9788893.0,Thursday,34.342199196005986,34.757226401323194,33.869929368945684,33.91524887084961,365248800.0,142.32012241486618,144.2830629655923,0.389199024098309,0.6529671711929126,142.0,143.13,177.89,146.66,36.94446185817818,37.88900519587008,36.7870373619735,37.667179107666016,148158800.0,10818374.0,154.712106555773,0.2153439002170222,,,,,,,,,,,,,,,,,,,,,,,,,,,147.4971705500879,-3.5099304725060296,,,,,3.2805696931647312,-88.13623667531803,,,,,,,,,,,,,25.274647887323937,3.0913012221423557,25.217797308647526,3.057291446222326,2019-01-03,-0.0472321542509713,-0.0584805160046395,-0.0672016886179455
AAPL,2019-01-04,3011205.0,9747041.0,Friday,34.473390406461,35.43224447060452,34.29927134520694,35.36307144165039,234428400.0,148.19809425587468,144.17995334552103,0.1057318221360223,0.263762218923149,142.19,142.19,148.4,144.96,34.342199196005986,34.757226401323194,33.869929368945684,33.91524887084961,365248800.0,9788893.0,144.2830629655923,0.6529671711929126,,,,,,,,,,,,,,,,,,,,,,,,,,,142.32012241486618,4.130105947965735,,,,,0.389199024098309,-72.83348220592785,,,154.712106555773,-6.740935678760909,,,,,0.2153439002170222,203.2206487088125,,,4.367395738096918,2.466289387270314,4.19033728549707,2.446579610554714,2019-01-04,-0.051671106277048,-0.0472321542509713,-0.0584805160046395
AAPL,2019-01-07,1613404.0,6495477.0,Monday,35.46801706834108,35.49902591499335,34.80015857426377,35.28435516357422,219111200.0,147.881547580801,148.3468673316062,0.0594383381419942,0.2220635834750158,147.3571,147.7,148.184725,148.9,34.473390406461,35.43224447060452,34.29927134520694,35.36307144165039,234428400.0,9747041.0,144.17995334552103,0.263762218923149,4387313.666666667,-63.22569748641177,,,,,,,,,,,,,,,,,,,,,,,,,148.19809425587468,-0.21359699438991472,146.0051290736096,1.2851730066588223,,,0.1057318221360223,-43.78387041743428,1.2585001797996875,-95.2770496900958,144.2830629655923,-0.0714634260958741,,,,,0.6529671711929126,-59.605592660764394,,,0.5616458250060454,1.9480976158661019,0.5596540025034411,1.9212102207869528,2019-01-07,-0.0529618573010868,-0.051671106277048,-0.0472321542509713
AAPL,2019-01-08,1997698.0,5557865.0,Tuesday,35.67314533765117,36.21220429826707,35.42508548038979,35.95698547363281,164101200.0,150.71531185097822,149.03254393623362,0.1207137949058602,0.4258453285866651,149.6802,147.93,151.21,149.75,35.46801706834108,35.49902591499335,34.80015857426377,35.28435516357422,219111200.0,6495477.0,148.3468673316062,0.2220635834750158,4442215.333333333,-55.029239915279504,,,,,,,10118102.666666666,-35.80340886044907,,,,,,,35.25335048688172,0.608925331903517,,,35.64849980672201,-1.0214865846307633,,,36.026158689265934,-1.4631945049130302,147.881547580801,1.9162392580648957,146.13325475051394,3.1355334610777006,,,0.0594383381419942,103.09079742014833,0.1847897281254418,-34.675051405500525,144.17995334552103,2.890078606211883,147.72504095562877,0.4209349829621699,,,0.263762218923149,-15.809176772311995,0.3773577634443613,-41.15303698852945,1.0220456680309047,0.8124576844956108,1.015026264559373,0.8089149582900224,2019-01-08,-0.0546832512761552,-0.0529618573010868,-0.051671106277048
AAPL,2019-01-09,2461012.0,4722655.0,Wednesday,36.08578375398838,36.85859188920276,35.68984228254517,36.56759643554688,180396400.0,153.23947398235944,151.18246472593276,0.2059853482143397,0.6617644532497121,151.0,150.21,153.81001,153.2,35.67314533765117,36.21220429826707,35.42508548038979,35.95698547363281,164101200.0,5557865.0,149.03254393623362,0.4258453285866651,2207435.6666666665,11.487371394893056,3354608.6,-26.63787960240727,,,,,8677137.0,-35.94817046221582,,,,,,,34.76120222360269,2.6234510192782645,,,34.854225158691406,3.1639214755758727,,,35.22949892897369,2.7894389621453684,150.71531185097822,1.6747881156740176,148.93165122921798,2.8924830400969466,147.32244933052158,4.016376783529354,0.1207137949058602,70.6394437976035,0.09529465172795891,116.15625271644154,148.3468673316062,0.46221171836051966,145.6032945475732,2.355200408971501,,,0.2220635834750158,91.76729561989464,0.37959765786369243,12.183339323863652,1.8609337748344408,1.230311633880885,1.8337376962828045,1.2212097787035792,2019-01-09,-0.0562648201788273,-0.0546832512761552,-0.0529618573010868
AAPL,2019-01-10,1236504.0,6455076.0,Thursday,36.37440495188372,36.725030654714,35.98323116880231,36.68448257446289,143122800.0,153.7509785327425,152.22937912902478,0.1154137765664972,0.1876158551488247,153.53,151.5,154.25,153.31,36.08578375398838,36.85859188920276,35.68984228254517,36.56759643554688,180396400.0,4722655.0,151.18246472593276,0.6617644532497121,2024038.0,-38.90905210277673,3557071.2,-65.23814311054555,,,,,7266794.333333333,-35.01047665080012,8481530.0,-44.31836001287503,,,,,35.204850937484416,2.502305202394679,35.38024277332748,1.994166589475168,35.534804026285805,2.906424947488383,35.63736801147461,2.6102612958756053,35.71449156128832,3.2034624543124055,153.23947398235944,0.3337942483683641,150.61211113804623,2.084073698309213,148.4709100169759,3.556298345017814,0.2059853482143397,-43.96990972076204,0.1287124937540647,-10.332110582037055,149.03254393623362,1.4425847757245707,147.18645487112028,2.7149304318196124,148.11090682694524,2.07382289717284,0.4258453285866651,55.400190826570125,0.3038903769949433,117.76420161561212,0.4689637204455148,1.9905465681379273,0.46828970252483243,1.9777425943017433,2019-01-10,-0.0560949497427331,-0.0562648201788273,-0.0546832512761552
AAPL,2019-01-11,1006231.0,5753453.0,Friday,36.46504026047846,36.66062531231102,36.13826447606144,36.324310302734375,108092800.0,152.20519955686854,153.1776777647404,0.0581770781356241,0.4284091822129879,152.06,152.67,152.5,154.54,36.37440495188372,36.725030654714,35.98323116880231,36.68448257446289,143122800.0,6455076.0,152.22937912902478,0.1876158551488247,1898404.6666666667,-46.99596889598881,2063964.6,-51.24766190272837,,,,,5591999.0,15.434140814402863,7262386.2,-11.116321519778172,,,,,35.74231538666021,1.7684628384746968,35.208507152489524,3.311409354405861,35.93631235758463,2.0819337538965668,35.41745147705078,3.577420295847932,36.18994070082106,1.4785599078939513,153.7509785327425,-1.0053783010849404,152.56858812202674,-0.2381804601007119,150.75708124055117,0.9605640440907146,0.1154137765664972,-49.59260508895609,0.14737097322889903,-60.52338064887276,151.18246472593276,0.6924840159140742,149.52062533125752,1.8116255143837932,147.4049784609772,3.272888553981072,0.6617644532497121,-71.64914884329255,0.436557788437131,-57.02382133176776,0.289359463369721,1.1947194719471963,0.2890834224330163,1.1889951928831712,2019-01-11,-0.0449373027637063,-0.0560949497427331,-0.0562648201788273
AAPL,2019-01-14,1069675.0,8301998.0,Monday,35.98084307721351,36.0810213178373,35.59205323610921,35.778099060058594,129756800.0,149.90380912265462,151.0209614293508,0.0908784819632418,0.1979695083155949,149.61,150.5,152.91,152.29,36.46504026047846,36.66062531231102,36.13826447606144,36.324310302734375,108092800.0,5753453.0,153.1776777647404,0.4284091822129879,1567915.6666666667,-31.777261829771035,1662969.8,-35.6768234756879,,,,,5578532.0,3.135609870123538,6595622.8,-12.768616786272249,,,,,36.04444468117442,1.1668804527975256,35.614948303665074,2.386896506391686,36.403021494547524,-0.21622158980659917,35.97129821777344,0.9813715446792356,36.59860894739461,0.1694500602619889,152.20519955686854,-1.512031416084471,153.0652173573235,-2.0653995004552286,151.55850230074992,-1.0917851212410092,0.0581770781356241,56.21011724133555,0.12652540097215367,-28.17372538242911,152.22937912902478,0.6229406183886941,150.81479593039705,1.5667440450828451,148.9942416936637,2.8077837260838305,0.1876158551488247,128.34380488427053,0.4250752123284007,0.7843247001689436,2.205734910767985,1.2248640859369915,2.20141170482189,1.220804511001965,2019-01-14,-0.0393671946657087,-0.0449373027637063,-0.0560949497427331
AAPL,2019-01-15,957658.0,4006406.0,Tuesday,35.8425058585296,36.58668926231533,35.79003101446399,36.5103645324707,114843600.0,153.03296597107067,150.29228414755733,0.0957839202798911,0.1682368313049866,151.95,150.0,153.41,151.06,35.98084307721351,36.0810213178373,35.59205323610921,35.778099060058594,129756800.0,8301998.0,151.0209614293508,0.1979695083155949,1104136.6666666667,-13.266352897135326,1554224.0,-38.38352772830686,2505162.777777778,-61.77262377938183,,,5643728.0,47.10131317455413,5796905.2,43.21431373416284,,,,,36.30840965545019,-0.9021782593761,36.01327827446856,-0.09006455065783132,36.52546310424805,-2.0461452933707824,36.16354598999023,-1.0658438473879959,36.74808261874259,-1.815227498604444,149.90380912265462,2.0874431855535436,151.95332907075522,0.7105055920247261,151.96295460912066,0.7041264528597075,0.0908784819632418,5.3977995788193684,0.08815644555512103,8.65220311088982,153.1776777647404,-1.407983439141844,152.196507206566,-0.7723868298894121,150.79378657750755,0.15065266082861936,0.4284091822129879,-53.7896206395566,0.4259298302038415,-53.520628451674625,0.9608423823626246,1.1893687707641143,0.9540428042648054,1.185265928026404,2019-01-15,-0.0356539141833102,-0.0393671946657087,-0.0449373027637063
