Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Datetime,,,,,
2024-11-29 14:30:00+00:00,234.6699981689453,235.0,233.97000122070312,234.83999633789062,1550100
2024-11-29 14:35:00+00:00,235.3800048828125,235.3800048828125,234.5749969482422,234.64999389648438,621780
2024-11-29 14:40:00+00:00,235.3800048828125,235.64500427246094,235.2899932861328,235.36500549316406,486858
2024-11-29 14:45:00+00:00,235.13999938964844,235.61000061035156,235.0500030517578,235.3800048828125,360426
2024-11-29 14:50:00+00:00,235.50660705566406,235.51800537109375,235.11500549316406,235.13999938964844,273312
2024-11-29 14:55:00+00:00,235.69000244140625,235.69000244140625,235.41000366210938,235.50999450683594,362004
2024-11-29 15:00:00+00:00,235.3699951171875,235.7899932861328,235.3000030517578,235.63999938964844,420100
2024-11-29 15:05:00+00:00,235.72999572753906,235.88999938964844,235.3699951171875,235.3699951171875,413012
2024-11-29 15:10:00+00:00,235.50999450683594,235.8282928466797,235.47000122070312,235.7303924560547,329853
2024-11-29 15:15:00+00:00,235.22999572753906,235.5500030517578,235.17999267578125,235.5,278959
2024-11-29 15:20:00+00:00,235.38499450683594,235.41990661621094,235.13999938964844,235.25,207711
2024-11-29 15:25:00+00:00,235.34500122070312,235.3800048828125,235.1999969482422,235.36000061035156,228392
2024-11-29 15:30:00+00:00,235.61000061035156,235.6699981689453,235.33999633789062,235.35000610351562,295968
2024-11-29 15:35:00+00:00,235.79469299316406,235.8350067138672,235.4949951171875,235.610107421875,294962
2024-11-29 15:40:00+00:00,235.61610412597656,235.82000732421875,235.5399932861328,235.7899932861328,189969
2024-11-29 15:45:00+00:00,235.51170349121094,235.74000549316406,235.47000122070312,235.6199951171875,241203
2024-11-29 15:50:00+00:00,235.5800018310547,235.72000122070312,235.39999389648438,235.5,247536
2024-11-29 15:55:00+00:00,235.80999755859375,235.8300018310547,235.57110595703125,235.57110595703125,239137
2024-11-29 16:00:00+00:00,235.89500427246094,235.9149932861328,235.7899932861328,235.82000732421875,331374
2024-11-29 16:05:00+00:00,235.9149932861328,235.9600067138672,235.75,235.88999938964844,253972
2024-11-29 16:10:00+00:00,236.36000061035156,236.3699951171875,235.86000061035156,235.91000366210938,925772
2024-11-29 16:15:00+00:00,236.32009887695312,236.4199981689453,236.21499633789062,236.36129760742188,309415
2024-11-29 16:20:00+00:00,236.3699951171875,236.5998992919922,236.3000030517578,236.32000732421875,365486
2024-11-29 16:25:00+00:00,236.39999389648438,236.42990112304688,236.16000366210938,236.3699951171875,302838
2024-11-29 16:30:00+00:00,236.39230346679688,236.4600067138672,236.32000732421875,236.3800048828125,221323
2024-11-29 16:35:00+00:00,236.4550018310547,236.5,236.3300018310547,236.39500427246094,182600
2024-11-29 16:40:00+00:00,236.39999389648438,236.5,236.2899932861328,236.4499969482422,204829
2024-11-29 16:45:00+00:00,236.6898956298828,236.6898956298828,236.39999389648438,236.39999389648438,331628
2024-11-29 16:50:00+00:00,237.0998992919922,237.13499450683594,236.66000366210938,236.69000244140625,718368
2024-11-29 16:55:00+00:00,237.05499267578125,237.11000061035156,236.8813934326172,237.0845947265625,349451
2024-11-29 17:00:00+00:00,236.88999938964844,237.05999755859375,236.71380615234375,237.05999755859375,318530
2024-11-29 17:05:00+00:00,237.0800018310547,237.14999389648438,236.81500244140625,236.88999938964844,303219
2024-11-29 17:10:00+00:00,236.97999572753906,237.08999633789062,236.84500122070312,237.0800018310547,283568
2024-11-29 17:15:00+00:00,236.88999938964844,236.97000122070312,236.8300018310547,236.97000122070312,239315
