SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK,OPEN,HIGH,LOW,CLOSE,VOLUME,DIFF_O&C,DIFF_H&L,PREV_POST_MARKET_VOLUME
DIS,2019-01-03,16379.0,4379689.0,Thursday,105.8624747405062,106.0283710007293,103.38376184928198,103.76435089111328,10594700.0,-2.0981238493929197,2.6446091514473125,3692178.0
DIS,2019-01-04,126706.0,3229070.0,Friday,105.33549231825305,108.07768677399466,104.66213911070815,106.96519470214844,10122800.0,1.629702383895392,3.415547663286503,4379689.0
DIS,2019-01-07,132591.0,2291805.0,Monday,107.2579628873209,108.71200829037346,106.66268110544168,107.89227294921876,6714700.0,0.6343100618978639,2.0493271849317836,3229070.0
DIS,2019-01-08,30575.0,3925801.0,Tuesday,109.10236492695732,109.8440214185847,108.4875615212852,108.73152923583984,8730700.0,-0.3708356911174775,1.3564598972995014,2291805.0
DIS,2019-01-09,135870.0,1480558.0,Wednesday,109.1023521978671,110.07822294222976,108.86813785860195,109.95135498046876,5931900.0,0.8490027826016586,1.2100850836278028,3925801.0
DIS,2019-01-10,7588.0,2456374.0,Thursday,109.28777138209422,110.18557819767676,108.80959676351354,110.07823181152344,6160100.0,0.790460429429217,1.3759814341632222,1480558.0
DIS,2019-01-11,22819.0,1517079.0,Friday,109.4731861534499,110.19532845754348,109.03404727353023,109.93184661865234,4819100.0,0.45866046520244197,1.161281184013248,2456374.0
DIS,2019-01-14,9637.0,4499628.0,Monday,108.95598019407788,109.98064010343192,108.74128741917409,109.7073974609375,6980600.0,0.7514172668596188,1.2393526842578382,1517079.0
DIS,2019-01-15,34603.0,2178583.0,Tuesday,109.5902874399816,110.44905101369248,107.94106350146912,109.06331634521484,9800900.0,-0.5269710947667505,2.507987512223366,4499628.0
DIS,2019-01-16,18674.0,1905413.0,Wednesday,108.76079698976795,109.30728969709656,108.13624027736664,108.23383331298828,5899900.0,-0.5269636767796726,1.1710494197299255,2178583.0
DIS,2019-01-17,24347.0,2822759.0,Thursday,108.04840986012636,108.57538095480182,107.50192462652348,108.33141326904295,6392000.0,0.28300340891659914,1.0734563282783398,1905413.0
DIS,2019-01-18,32060.0,1592152.0,Friday,109.16090864609892,109.22921930451362,108.15576291000984,108.3606948852539,8554700.0,-0.8002137608450113,1.0734563945037792,2822759.0
DIS,2019-01-22,6822.0,1812387.0,Tuesday,107.9508265162763,108.64369386478114,107.1018162718984,107.93130493164062,6986700.0,-0.019521584635668887,1.5418775928827415,1592152.0
DIS,2019-01-23,174856.0,2553167.0,Wednesday,108.5070695037964,109.1413795258691,107.34578094561508,108.43875885009766,6845600.0,-0.06831065369874523,1.7955985802540226,1812387.0
DIS,2019-01-24,103001.0,2273455.0,Thursday,108.32166147573398,108.42900786200988,107.277479991753,107.8825225830078,6716800.0,-0.43913889272617723,1.151527870256885,2553167.0
DIS,2019-01-25,11515.0,2498393.0,Friday,108.78032053660266,108.80959546969574,107.98986756187595,108.40948486328124,5706900.0,-0.3708356733214231,0.8197279078197823,2273455.0
DIS,2019-01-28,125285.0,1850211.0,Monday,108.08745665257253,108.31190277708669,107.29699620695644,108.13624572753906,6178800.0,0.048789074966535395,1.0149065701302504,2498393.0
DIS,2019-01-29,2693.0,1514972.0,Tuesday,107.98010761263006,108.2533502507046,107.3457900912122,108.2240753173828,5253700.0,0.243967704752734,0.9075601594924052,1850211.0
