SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK,OPEN,HIGH,LOW,CLOSE,VOLUME,DIFF_O&C,DIFF_H&L,PREV_POST_MARKET_VOLUME
JNJ,2019-01-22,797825.0,3201168.0,Tuesday,108.53616131420496,109.63676462382526,107.52869273421965,109.04413604736328,10568100.0,0.5079747331583206,2.108071889605611,3273871.0
JNJ,2019-01-23,183712.0,3773847.0,Wednesday,108.79014868078411,109.46744401888384,108.30757785161737,109.04413604736328,9267800.0,0.25398736657916743,1.1598661672664718,3201168.0
JNJ,2019-01-24,75083.0,1675770.0,Thursday,108.78172734363956,108.95950952306376,105.82703196069497,107.54566192626952,9917000.0,-1.2360654173700425,3.1324775623687913,3773847.0
JNJ,2019-01-25,182061.0,2756875.0,Friday,108.4769229858564,108.7478334152242,107.54564012604403,108.56157684326172,7585100.0,0.08465385740531417,1.2021932891801725,1675770.0
JNJ,2019-01-28,177620.0,2480422.0,Monday,108.20598823955407,109.34045057230206,107.76575076424658,109.20500183105467,6927700.0,0.9990135915005993,1.5746998080554846,2756875.0
JNJ,2019-01-29,91240.0,2095690.0,Tuesday,109.17115073923732,110.45801091357082,108.7901760526814,110.33948516845705,6669300.0,1.1683344292197262,1.667834860889414,2480422.0
JNJ,2019-01-30,161327.0,2851348.0,Wednesday,110.37333370017492,111.91418115937894,110.31407729238651,111.44853973388672,7299300.0,1.075206033711794,1.600103866992427,2095690.0
JNJ,2019-01-31,141332.0,13323328.0,Thursday,111.44006535992932,114.4540161758096,110.79662894867312,112.66765594482422,17298100.0,1.227590584894898,3.657387227136482,2851348.0
JNJ,2019-02-01,211938.0,4462698.0,Friday,113.46350578901064,114.0307370880502,112.99786429925048,113.61589050292967,9575200.0,0.15238471391903374,1.0328727887997218,13323328.0
JNJ,2019-02-04,120491.0,4019012.0,Monday,113.41269130203943,113.57353749951336,111.9311132202878,112.49834442138672,7759000.0,-0.9143468806527153,1.6424242792255654,4462698.0
JNJ,2019-02-05,137616.0,2543151.0,Tuesday,113.04017817455104,113.34496046810196,112.38828020144632,112.49834442138672,6449800.0,-0.541833753164326,0.9566802666556384,4019012.0
JNJ,2019-02-06,157532.0,2102545.0,Wednesday,112.6676759088265,113.08252246231122,112.0073163621933,112.59994506835938,5066100.0,-0.06773084046712086,1.0752061001179243,2543151.0
JNJ,2019-02-07,102476.0,2637716.0,Thursday,112.1343032090449,112.2951623397811,111.35541792399204,111.79566192626952,6085300.0,-0.3386412827753844,0.9397444157890646,2102545.0
JNJ,2019-02-08,97581.0,2049725.0,Friday,111.71101287669012,112.14279543684675,111.36389710983372,112.09198760986328,4436700.0,0.38097473317316144,0.7788983270130387,2637716.0
JNJ,2019-02-11,184402.0,2275753.0,Monday,112.01577534293756,112.32055765898744,111.1268258445974,111.75332641601562,4962200.0,-0.2624489269219339,1.1937318143900342,2049725.0
JNJ,2019-02-12,200081.0,2742425.0,Tuesday,111.82107553417072,113.700564637326,111.82107553417072,113.58203887939452,6262300.0,1.7609633452238,1.8794891031552794,2275753.0
JNJ,2019-02-13,151166.0,3718109.0,Wednesday,113.50580936411954,114.27622007932936,112.77771911276652,113.8275146484375,7902200.0,0.3217052843179573,1.498500966562844,2742425.0
JNJ,2019-02-14,107105.0,1325015.0,Thursday,113.70054575271485,114.14078974548502,112.8962630347396,113.7090072631836,3910400.0,0.008461510468748656,1.2445267107454185,3718109.0
JNJ,2019-02-15,742395.0,3404809.0,Friday,114.45404202531302,115.48691478560318,114.3016443972626,115.46151733398438,6665000.0,1.00747530867136,1.1852703883405695,1325015.0
JNJ,2019-02-19,203818.0,2419955.0,Tuesday,115.2583092358918,115.46150173973662,114.82653969834932,114.87733459472656,5935500.0,-0.3809746411652384,0.634962041387297,3404809.0
JNJ,2019-02-20,117061.0,3781959.0,Wednesday,115.11440080353884,115.7578244373034,114.91120827366385,115.43611907958984,6089800.0,0.32171827605100134,0.8466161636395526,2419955.0
JNJ,2019-02-21,276658.0,1829987.0,Thursday,114.2762523647738,114.9620094276763,113.67516209017404,114.64876556396484,6665500.0,0.3725131991910473,1.286847337502266,3781959.0
JNJ,2019-02-22,204599.0,1602534.0,Friday,114.53868059848254,115.68161744207856,114.14078293680114,115.64775848388672,5223900.0,1.1090778854041758,1.5408345052774166,1829987.0
JNJ,2019-02-25,162152.0,2202454.0,Monday,116.20171025928931,117.17325314775184,115.78411235834838,116.07386779785156,6846600.0,-0.12784246143775135,1.3891407894034558,1602534.0
JNJ,2019-02-26,127324.0,2504486.0,Tuesday,116.27839965555852,116.72156341643414,115.94603008590508,115.99716186523438,5106900.0,-0.2812377903241412,0.7755333305290577,2202454.0
JNJ,2019-02-27,94288.0,1706040.0,Wednesday,115.49435237033288,116.11647737865069,115.38355817558636,115.7926254272461,4378100.0,0.29827305691321726,0.732919203064327,2504486.0
