Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX
Datetime,,,,,,
2024-09-23 13:30:00,95.5779037475586,95.5779037475586,96.05000305175781,95.33999633789062,95.80919647216797,191643
2024-09-23 13:35:00,94.75499725341797,94.75499725341797,95.55000305175781,94.69000244140625,95.55000305175781,175278
2024-09-23 13:40:00,94.77799987792969,94.77799987792969,94.93000030517578,94.58000183105469,94.75,118583
2024-09-23 13:45:00,94.7300033569336,94.7300033569336,94.95999908447266,94.61000061035156,94.69000244140625,108012
2024-09-23 13:50:00,94.80500030517578,94.80500030517578,94.9000015258789,94.66000366210938,94.74500274658203,75116
2024-09-23 13:55:00,94.78500366210938,94.78500366210938,94.86720275878906,94.70010375976562,94.80999755859375,83789
2024-09-23 14:00:00,94.80000305175781,94.80000305175781,94.8499984741211,94.55999755859375,94.79000091552734,174223
2024-09-23 14:05:00,94.54000091552734,94.54000091552734,94.80899810791016,94.5199966430664,94.79000091552734,84587
2024-09-23 14:10:00,94.56999969482422,94.56999969482422,94.66000366210938,94.529296875,94.52999877929688,90698
2024-09-23 14:15:00,94.44999694824219,94.44999694824219,94.55999755859375,94.35050201416016,94.54499816894531,81752
2024-09-23 14:20:00,94.50499725341797,94.50499725341797,94.56999969482422,94.44999694824219,94.44999694824219,52015
2024-09-23 14:25:00,94.46739959716797,94.46739959716797,94.54000091552734,94.43000030517578,94.52999877929688,52085
2024-09-23 14:30:00,94.5,94.5,94.53500366210938,94.41000366210938,94.4800033569336,80690
2024-09-23 14:35:00,94.80349731445312,94.80349731445312,94.81999969482422,94.45999908447266,94.50499725341797,106954
2024-09-23 14:40:00,94.99659729003906,94.99659729003906,95.08799743652344,94.79010009765625,94.79010009765625,71167
2024-09-23 14:45:00,94.81999969482422,94.81999969482422,95.0199966430664,94.79000091552734,95.0199966430664,155198
2024-09-23 14:50:00,94.63999938964844,94.63999938964844,94.81999969482422,94.57499694824219,94.81999969482422,96022
2024-09-23 14:55:00,94.68000030517578,94.68000030517578,94.69000244140625,94.5199966430664,94.63999938964844,75916
2024-09-23 15:00:00,94.75499725341797,94.75499725341797,94.75499725341797,94.6449966430664,94.66999816894531,66237
2024-09-23 15:05:00,94.87169647216797,94.87169647216797,94.87999725341797,94.73999786376953,94.78500366210938,44117
2024-09-23 15:10:00,94.7699966430664,94.7699966430664,94.91999816894531,94.73999786376953,94.87999725341797,120279
2024-09-23 15:15:00,94.90679931640625,94.90679931640625,94.91999816894531,94.70999908447266,94.75189971923828,24506
2024-09-23 15:20:00,95.11000061035156,95.11000061035156,95.16000366210938,94.9000015258789,94.91500091552734,75010
2024-09-23 15:25:00,95.23999786376953,95.23999786376953,95.28250122070312,95.13500213623047,95.13999938964844,47450
2024-09-23 15:30:00,95.20999908447266,95.20999908447266,95.41000366210938,95.20999908447266,95.26000213623047,64660
2024-09-23 15:35:00,95.20999908447266,95.20999908447266,95.25,95.13999938964844,95.19999694824219,53861
2024-09-23 15:40:00,95.0250015258789,95.0250015258789,95.2300033569336,94.9800033569336,95.2300033569336,96254
2024-09-23 15:45:00,94.95999908447266,94.95999908447266,95.06999969482422,94.95999908447266,95.03500366210938,65564
2024-09-23 15:50:00,94.99500274658203,94.99500274658203,95.0,94.81999969482422,94.95999908447266,108074
2024-09-23 15:55:00,94.76000213623047,94.76000213623047,95.0,94.76000213623047,94.98999786376953,56706
2024-09-23 16:00:00,94.76000213623047,94.76000213623047,94.87999725341797,94.72000122070312,94.75,93983
2024-09-23 16:05:00,94.58999633789062,94.58999633789062,94.76000213623047,94.56999969482422,94.75,80798
2024-09-23 16:10:00,94.5199966430664,94.5199966430664,94.62000274658203,94.5,94.5999984741211,96972
2024-09-23 16:15:00,94.4749984741211,94.4749984741211,94.55000305175781,94.41999816894531,94.55000305175781,52492
